,genre,tempo,time sig,mode,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
62,acoustic,121.0,4,1,0.949,0.732,0.18,2.18e-05,0.11,-11.448,0.0427,0.432
63,acoustic,57.0,4,1,0.989,0.319,0.0739,0.0682,0.122,-15.42,0.0375,0.184
64,acoustic,133.0,4,1,0.135,0.334,0.192,9.77e-05,0.427,-13.983,0.0337,0.0775
65,acoustic,94.0,3,0,0.827,0.436,0.46,0.0,0.175,-9.301,0.06,0.458
66,acoustic,180.0,3,1,0.964,0.592,0.372,0.15,0.0974,-12.04,0.043,0.249
67,acoustic,101.0,4,1,0.122,0.541,0.677,0.0191,0.0938,-10.764,0.0373,0.555
68,acoustic,120.0,4,1,0.754,0.725,0.666,1.05e-06,0.15,-5.514,0.0774,0.582
69,acoustic,75.0,4,1,0.627,0.773,0.394,1.36e-05,0.0953,-9.252,0.0516,0.443
70,acoustic,139.0,4,0,0.222,0.571,0.432,0.0,0.131,-4.704,0.0405,0.598
71,acoustic,108.0,4,1,0.714,0.453,0.349,7.94e-05,0.0835,-11.077,0.0289,0.302
72,acoustic,104.0,4,1,0.628,0.484,0.534,0.00151,0.701,-9.244,0.0642,0.236
73,acoustic,81.0,4,1,0.259,0.541,0.602,1.37e-06,0.125,-6.033,0.0257,0.446
74,acoustic,128.0,4,1,0.919,0.481,0.229,0.0,0.0867,-8.84,0.0406,0.428
75,acoustic,130.0,4,0,0.311,0.523,0.467,2.01e-05,0.34,-7.713,0.0281,0.135
76,acoustic,108.0,4,1,0.606,0.644,0.337,0.0169,0.301,-10.906,0.0295,0.31
77,acoustic,115.0,4,1,0.653,0.615,0.388,0.000119,0.908,-11.997,0.0365,0.429
78,acoustic,88.0,4,1,0.754,0.477,0.415,0.00356,0.104,-10.592,0.0313,0.418
79,acoustic,79.0,4,1,0.853,0.47,0.296,0.368,0.0957,-14.123,0.0328,0.0605
80,acoustic,93.0,4,1,0.903,0.305,0.21,0.0288,0.116,-12.317,0.0277,0.0985
81,acoustic,93.0,4,0,0.895,0.535,0.174,0.0,0.0999,-10.431,0.0712,0.442
82,acoustic,124.0,4,0,0.0117,0.444,0.622,0.000123,0.139,-2.721,0.0342,0.211
83,acoustic,152.0,4,1,0.95,0.588,0.0929,0.00539,0.128,-14.301,0.0443,0.502
84,acoustic,108.0,4,1,0.559,0.527,0.361,3.95e-05,0.152,-11.214,0.0282,0.337
85,acoustic,85.0,4,0,0.589,0.612,0.163,0.663,0.0745,-17.64,0.0337,0.0696
86,acoustic,83.0,4,1,0.935,0.43,0.16,0.011,0.319,-12.009,0.0326,0.218
87,acoustic,116.0,4,1,0.585,0.666,0.259,0.0,0.079,-10.721,0.04,0.698
88,acoustic,126.0,4,1,0.712,0.606,0.209,0.0,0.144,-8.759,0.0303,0.308
89,acoustic,129.0,4,1,0.458,0.419,0.358,0.0479,0.168,-10.749,0.033,0.226
90,acoustic,85.0,4,1,0.121,0.674,0.428,0.0,0.132,-9.504,0.122,0.337
91,acoustic,90.0,4,1,0.465,0.619,0.437,0.00609,0.0971,-11.756,0.0314,0.406
92,acoustic,87.0,1,1,0.902,0.616,0.209,0.0,0.139,-13.43,0.406,0.336
93,acoustic,154.0,4,1,0.0289,0.425,0.645,0.0,0.145,-6.108,0.0372,0.418
94,acoustic,91.0,4,1,0.902,0.595,0.238,0.000506,0.114,-7.565,0.0287,0.153
95,acoustic,83.0,4,1,0.91,0.568,0.248,0.0,0.0732,-11.544,0.0352,0.232
96,acoustic,134.0,4,0,0.593,0.604,0.599,0.0,0.135,-5.722,0.0308,0.371
97,acoustic,120.0,4,1,9.44e-05,0.545,0.699,5.79e-05,0.12,-8.76,0.0338,0.6
98,acoustic,100.0,4,0,0.676,0.847,0.532,2.88e-05,0.101,-8.845,0.0506,0.837
99,acoustic,98.0,3,1,0.455,0.556,0.405,0.333,0.112,-12.33,0.0268,0.567
100,afrobeat,115.0,4,1,0.835,0.815,0.756,6.71e-05,0.119,-6.8,0.0408,0.682
101,afrobeat,93.0,4,1,0.488,0.521,0.458,0.00397,0.113,-10.468,0.0331,0.432
102,afrobeat,87.0,4,1,0.246,0.746,0.922,0.0,0.515,-5.014,0.236,0.638
103,afrobeat,131.0,4,1,0.00959,0.739,0.953,0.0,0.0339,-2.217,0.0474,0.909
104,afrobeat,156.0,4,1,0.508,0.463,0.406,0.182,0.128,-15.143,0.0602,0.722
105,afrobeat,120.0,4,1,0.525,0.879,0.737,0.00576,0.268,-5.412,0.0421,0.967
106,afrobeat,91.0,4,0,0.833,0.345,0.787,0.0,0.844,-6.032,0.188,0.664
107,afrobeat,130.0,4,1,0.5,0.61,0.968,0.00268,0.212,-1.159,0.0797,0.81
108,afrobeat,119.0,4,0,0.14,0.835,0.86,0.0,0.0767,-6.872,0.0621,0.943
109,afrobeat,108.0,4,1,0.206,0.637,0.799,0.0688,0.124,-8.854,0.0521,0.692
110,afrobeat,140.0,4,0,0.422,0.767,0.454,0.000212,0.11,-6.401,0.0585,0.647
111,afrobeat,114.0,4,1,0.954,0.674,0.358,0.0544,0.358,-11.364,0.0552,0.714
112,afrobeat,125.0,4,1,0.00211,0.728,0.9,0.0175,0.129,-3.5,0.0394,0.838
113,afrobeat,82.0,4,0,0.85,0.756,0.472,0.000115,0.0881,-7.029,0.0412,0.866
114,afrobeat,122.0,4,1,0.199,0.63,0.85,1.02e-05,0.484,-4.118,0.0442,0.903
115,afrobeat,81.0,4,0,0.618,0.591,0.422,0.952,0.218,-13.389,0.0409,0.673
116,afrobeat,132.0,4,1,0.0361,0.899,0.837,0.000981,0.248,-4.334,0.0761,0.78
117,afrobeat,100.0,4,0,0.586,0.651,0.495,0.017,0.0877,-10.799,0.0297,0.471
118,afrobeat,99.0,4,0,0.16,0.821,0.78,0.00398,0.174,-6.386,0.231,0.827
119,afrobeat,120.0,4,1,0.0849,0.953,0.685,0.0,0.206,-4.904,0.145,0.657
120,afrobeat,109.0,4,1,0.0375,0.742,0.712,0.745,0.0739,-7.532,0.0345,0.924
121,afrobeat,88.0,4,0,0.129,0.552,0.747,4.38e-06,0.173,-9.656,0.0787,0.688
122,afrobeat,123.0,4,1,0.0149,0.639,0.825,0.0,0.0553,-5.327,0.123,0.496
123,afrobeat,94.0,4,0,0.0975,0.669,0.77,3.98e-06,0.119,-5.928,0.0418,0.882
124,afrobeat,108.0,4,1,0.337,0.55,0.611,2.09e-05,0.141,-12.277,0.136,0.906
125,afrobeat,176.0,3,1,0.786,0.516,0.482,2.19e-06,0.13,-10.119,0.158,0.839
126,afrobeat,172.0,4,1,0.521,0.509,0.643,0.258,0.0565,-9.417,0.0526,0.718
127,afrobeat,120.0,4,1,0.427,0.738,0.744,0.0,0.0885,-6.354,0.0614,0.802
128,afrobeat,81.0,4,1,0.539,0.518,0.702,0.163,0.0881,-6.481,0.0662,0.522
129,afrobeat,100.0,4,1,0.0264,0.738,0.813,0.000335,0.826,-7.095,0.029,0.74
130,afrobeat,97.0,4,0,0.00783,0.473,0.898,0.0618,0.173,-4.797,0.0561,0.808
131,afrobeat,118.0,4,0,0.514,0.69,0.856,0.0,0.0369,-3.088,0.084,0.511
132,afrobeat,97.0,4,0,0.889,0.498,0.111,0.00862,0.119,-15.6,0.0458,0.571
133,afrobeat,123.0,4,1,0.377,0.715,0.703,0.0,0.0827,-7.985,0.0559,0.919
134,afrobeat,76.0,5,0,0.178,0.51,0.677,4.35e-06,0.105,-11.355,0.339,0.859
135,afrobeat,180.0,4,0,0.162,0.824,0.366,0.0346,0.106,-11.223,0.0377,0.422
136,afrobeat,198.0,4,0,0.213,0.7,0.708,0.0,0.0834,-5.846,0.254,0.878
137,afrobeat,130.0,4,1,0.211,0.69,0.93,0.000404,0.0683,-2.252,0.0649,0.86
